000007.jpg,141,50,500,330,Non-Text
000009.jpg,69,172,270,330,Non-Text
000009.jpg,150,141,229,284,Non-Text
000009.jpg,285,201,327,331,Non-Text
000009.jpg,258,198,297,329,Non-Text
000019.jpg,231,88,483,256,Non-Text
000019.jpg,11,113,266,259,Non-Text
000021.jpg,1,235,182,388,Non-Text
000021.jpg,210,36,336,482,Non-Text
000021.jpg,46,82,170,365,Non-Text
000021.jpg,11,181,142,419,Non-Text
000035.jpg,1,96,191,361,Non-Text
000035.jpg,218,98,465,318,Non-Text
000035.jpg,468,195,500,317,Non-Text
000035.jpg,3,304,500,375,Non-Text
000036.jpg,27,79,319,344,Non-Text
000039.jpg,156,89,344,279,Non-Text
000042.jpg,263,32,500,295,Non-Text
000042.jpg,1,36,235,299,Non-Text
000044.jpg,1,1,370,330,Non-Text
000044.jpg,99,101,312,213,Non-Text
000048.jpg,58,107,291,465,Non-Text
000048.jpg,2,1,302,500,Non-Text
000050.jpg,405,153,493,255,Non-Text
000050.jpg,275,129,312,170,Non-Text
000050.jpg,360,192,381,265,Non-Text
000050.jpg,399,181,422,235,Non-Text
000050.jpg,270,180,291,247,Non-Text
000050.jpg,294,176,312,241,Non-Text
000050.jpg,68,96,293,375,Non-Text
000050.jpg,1,71,87,332,Non-Text
000050.jpg,185,68,259,197,Non-Text
000050.jpg,286,64,406,238,Non-Text
000051.jpg,352,138,500,375,Non-Text
000051.jpg,105,1,427,245,Non-Text
000051.jpg,415,61,465,195,Non-Text
000052.jpg,414,232,458,263,Non-Text
000052.jpg,291,237,333,270,Non-Text
000052.jpg,183,238,227,273,Non-Text
000052.jpg,52,244,99,274,Non-Text
000052.jpg,62,96,107,132,Non-Text
000052.jpg,184,94,225,128,Non-Text
000060.jpg,1,137,427,333,Non-Text
000060.jpg,1,62,479,235,Non-Text
000060.jpg,1,27,422,141,Non-Text
000060.jpg,44,7,458,134,Non-Text
000060.jpg,199,6,475,98,Non-Text
000061.jpg,274,11,437,279,Non-Text
000061.jpg,184,214,281,252,Non-Text
000063.jpg,123,115,379,275,Non-Text
000063.jpg,75,1,428,375,Non-Text
000064.jpg,1,23,451,500,Non-Text
000065.jpg,2,104,398,334,Non-Text
000066.jpg,209,187,228,230,Non-Text
000066.jpg,242,182,274,259,Non-Text
000066.jpg,269,188,295,259,Non-Text
000078.jpg,15,75,475,412,Non-Text
000078.jpg,94,41,437,238,Non-Text
000081.jpg,235,158,462,282,Non-Text
000081.jpg,8,166,220,322,Non-Text
000081.jpg,198,156,341,231,Non-Text
000081.jpg,349,145,451,266,Non-Text
000081.jpg,61,162,170,333,Non-Text
000081.jpg,29,166,73,213,Non-Text
000081.jpg,298,246,433,333,Non-Text
000081.jpg,196,215,332,330,Non-Text
000081.jpg,270,298,324,333,Non-Text
000093.jpg,175,125,344,254,Non-Text
000093.jpg,53,3,500,338,Non-Text
000095.jpg,20,52,439,285,Non-Text
000095.jpg,1,125,114,234,Non-Text
000099.jpg,4,77,320,252,Non-Text
000102.jpg,416,175,500,314,Non-Text
000102.jpg,121,134,352,274,Non-Text
000107.jpg,471,174,500,227,Non-Text
000107.jpg,296,149,334,178,Non-Text
000107.jpg,242,146,259,169,Non-Text
000109.jpg,17,12,482,235,Non-Text
000110.jpg,79,233,110,314,Non-Text
000110.jpg,54,231,86,344,Non-Text
000110.jpg,31,233,50,303,Non-Text
000112.jpg,70,174,277,328,Non-Text
000112.jpg,287,162,316,198,Non-Text
000113.jpg,277,101,354,260,Non-Text
000118.jpg,164,97,281,375,Non-Text
000120.jpg,66,121,440,276,Non-Text
000121.jpg,251,28,475,267,Non-Text
000121.jpg,22,28,251,273,Non-Text
000122.jpg,36,20,430,474,Non-Text
000125.jpg,425,218,500,275,Non-Text
000125.jpg,436,188,467,223,Non-Text
000125.jpg,382,209,415,272,Non-Text
000125.jpg,353,213,383,276,Non-Text
000130.jpg,4,1,500,249,Non-Text
000133.jpg,73,18,406,500,Non-Text
000133.jpg,135,227,338,500,Non-Text
000133.jpg,22,1,75,101,Non-Text
000133.jpg,42,58,137,104,Non-Text
000138.jpg,6,56,154,285,Non-Text
000138.jpg,145,58,283,258,Non-Text
000138.jpg,224,54,440,332,Non-Text
000138.jpg,363,96,500,332,Non-Text
000140.jpg,107,146,386,300,Non-Text
000140.jpg,2,113,500,401,Non-Text
000141.jpg,25,53,418,399,Non-Text
000143.jpg,170,46,500,333,Non-Text
000146.jpg,155,208,252,408,Non-Text
000147.jpg,33,105,65,146,Non-Text
000147.jpg,77,114,114,149,Non-Text
000147.jpg,146,125,175,150,Non-Text
000147.jpg,227,132,247,154,Non-Text
000147.jpg,302,127,327,153,Non-Text
000147.jpg,373,121,402,153,Non-Text
000147.jpg,435,112,465,149,Non-Text
000150.jpg,186,78,319,264,Non-Text
000150.jpg,353,54,379,108,Non-Text
000150.jpg,415,51,436,109,Non-Text
000150.jpg,476,54,492,98,Non-Text
000150.jpg,489,51,500,100,Non-Text
000153.jpg,237,147,358,191,Non-Text
000153.jpg,138,56,166,70,Non-Text
000153.jpg,47,114,118,125,Non-Text
000153.jpg,3,109,64,122,Non-Text
000154.jpg,59,76,367,266,Non-Text
000154.jpg,441,193,458,213,Non-Text
000156.jpg,41,73,381,352,Non-Text
000156.jpg,432,103,496,144,Non-Text
000156.jpg,404,114,435,143,Non-Text
000158.jpg,196,83,267,207,Non-Text
000159.jpg,234,48,286,124,Non-Text
000159.jpg,1,16,498,333,Non-Text
000162.jpg,306,227,380,299,Non-Text
000162.jpg,196,143,309,369,Non-Text
000164.jpg,114,154,369,348,Non-Text
000164.jpg,292,49,446,370,Non-Text
000165.jpg,89,54,500,386,Non-Text
000171.jpg,1,290,128,407,Non-Text
000171.jpg,94,21,375,491,Non-Text
000174.jpg,143,5,426,333,Non-Text
000177.jpg,59,152,461,375,Non-Text
000177.jpg,344,150,500,375,Non-Text
000177.jpg,321,85,456,362,Non-Text
000177.jpg,304,92,391,209,Non-Text
000177.jpg,280,88,337,172,Non-Text
000177.jpg,163,67,261,163,Non-Text
000177.jpg,125,94,164,166,Non-Text
000177.jpg,75,87,158,231,Non-Text
000177.jpg,1,112,97,375,Non-Text
000184.jpg,289,106,338,192,Non-Text
000184.jpg,375,144,403,188,Non-Text
000184.jpg,458,154,480,190,Non-Text
000184.jpg,2,1,312,375,Non-Text
000189.jpg,65,39,459,346,Non-Text
000192.jpg,116,64,356,375,Non-Text
000192.jpg,2,212,49,375,Non-Text
000198.jpg,160,134,286,239,Non-Text
